sample	community	div	div.rda	level	MVP1.4	Q2.87	CHA0	F113	Phl1c2	Pf.5	M1.96	Q8R1.96	breadth	connectance	nestedness	FD	dissim	siderophore.SU.	IAA.ng.ml.	p.solu	Gas.pmol.L..	pd.phlD	pd.old	pd.pseu	toxin1	toxin2	inhib.rs	inhib.fus	inhib.rhizo	inhib.py	DAPG.ppm	phlD20	phlD_ck	X16S	ck16s	di_20	NH4	NO3	WSOC	WSON	N	C	CNRatio	DNAc	promote	dryweight	K.ppm	P.ppm	Fe.ppm	Plant.N	bce15	bce25	bce35	rel.ab	otu.richness	otu.shannon	PD	SR	otu.alpha	otu.evenness	otu.richness.delta	otu.richness.norm	ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs	ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs	pae
s38	38	4	10	2	0	1	0	0	0	1	1	1	72.92	0.598958333	16.59471204	0.389363644	0.197297316	0.687615527	13.08950134	581.4	336.6268218	0.3642	0.7988	0.0297	67.87922406	61.05373458	70.87723895	9	10	16.25	4720.59	7.257300975	6.357337894	10.73	11.02	0	1.678	13.123	120.0092	50.0013	0.2610998	2.2	8.425896918	23.6	30.51851852	1.759	33.461455	4.05818	0.153086	38708.94945	100	96.63865546	93.97993311	0.000336745	3105	6.591087056	200.46512	3018	880.4867097	0.819708545	-6	-0.192864031	3018	0.001466276	0.004582648	0.001029576	1	-3.026851618	0.001	999	3018	0.082609829	0.112668603	0.005188132	1	-5.793756058	0.001	999	0.588859396
s39	39	4	10	2	1	0	0	0	1	1	0	1	77.08	0.614583333	22.85144717	0.400768389	0.205644032	0.721503389	14.30553904	658.5	331.8103206	0.3145	0.7193	0.0307	65.23929472	61.18733424	71.01083861	9.67	10.75	18.75	3885.29	7.947062207	6.357337894	10.82	11.02	0	1.51	20.738	123.4163284	41.85197449	0.2633221	2.41	9.152289155	29.7	23.85185185	1.67	29.990195	4.343555	0.1755975	36455.35744	100	79.83193277	67.89297659	0.001339869	3586	6.436514094	222.5254	3494	1075.31295	0.786399163	475	15.26840244	3494	0.001757986	0.004285413	0.001475289	1	-1.713174449	0.001	999	3494	0.092406595	0.112483375	0.006814412	1	-2.946223491	0.001	999	0.628778119
s40	40	4	10	2	0	1	1	0	1	0	1	0	75	0.588541667	16.72969961	0.470867269	0.241581853	0.70222	14.22702322	638.6	349.931788	0.3859	0.8203	0.0317	50.43508131	50.09168606	59.91519043	8	5.75	10.5	2705.88	7.577767771	6.357337894	10.64	11.02	0.125	1.519	3.752	107.801712	23.44455814	0.239901	2.05	8.545191558	27.7	29.70370371	1.75	29.987985	4.109455	0.1576047	36843.35744	75.25773195	73.1092437	75.91973244	0.000866498	2747	6.202538457	186.82683	2693	746.8340206	0.783320425	-364	-11.70041787	2693	0.001563708	0.004887996	0.001286152	1	-2.584677318	0.001	999	2693	0.081433996	0.112776903	0.006117864	1	-5.123178041	0.001	999	0.608761277
s41	41	4	10	2	1	0	1	0	0	1	0	1	72.92	0.59375	18.68397244	0.375747248	0.223487792	0.708379544	10.15186066	587.4	335.900524	0.2747	0.648	0.0287	65.54843143	60.46530667	70.28881104	12.17	11.5	12.5	3976.47	7.850492369	6.357337894	10.6	11.02	0	1.669	32.233	102.9983	39.0013	0.2600876	2.252	8.657806062	28	19.37037037	1.61	36.933613	4.178755	0.20928925	39144.09197	100	86.55462185	81.93979933	0.001780297	3519	6.421548506	229.20909	3424	1052.534288	0.786382791	408	13.1147541	3424	0.002605172	0.004253991	0.001200822	37	-1.373074925	0.037	999	3424	0.097780968	0.112800574	0.006249703	4	-2.403251235	0.004	999	0.580318348
s42	42	4	10	2	0	0	1	1	0	1	1	0	72.92	0.598958333	17.61546093	0.431406395	0.237072961	0.683548983	10.63348819	605.6	325.939226	0.2777	0.648	0.0292	65.72998791	58.76092866	68.58443303	12.33	9.5	11	2220.59	7.944952197	6.357337894	10.61	11.02	0	1.529	12.209	92.57165527	43.05303955	0.230098	2.136	9.283023929	27.9	38.96296297	1.875	35.9417875	4.29703	0.19828925	36266.29508	100	100	91.97324415	0.00216248	3062	6.396351189	197.75845	2941	864.5424352	0.796872029	-49	-1.575056252	2941	0.001938194	0.004596961	0.001519757	1	-1.749468787	0.001	999	2941	0.08813622	0.112039448	0.007917369	1	-3.019087223	0.001	999	0.581944708
s43	43	4	10	2	1	0	1	1	0	0	0	1	68.75	0.583333333	17.77555892	0.365618941	0.180637296	0.460295749	10.60093285	617.6	348.4971812	0.2925	0.6844	0.0293	49.22797607	58.88372247	68.70722683	6.5	7.5	7.75	2588.24	7.836784609	6.357337894	10.66	11.02	0	1.5908	12.008	99.89201	36.00931	0.267659	2.257	8.43247565	43.3	46.85185186	1.98	28.5175	4.0876725	0.21036875	40353.93274	100	96.63865546	85.95317726	0.001502397	3200	6.265007122	208.84577	3113	917.6779578	0.776245821	89	2.860816458	3113	0.002066768	0.004463226	0.001490304	3	-1.608033015	0.003	999	3113	0.078544196	0.112457244	0.007246677	1	-4.679806427	0.001	999	0.600968486
s44	44	4	10	2	0	0	1	0	1	0	1	1	75	0.598958333	17.67527607	0.423275041	0.218642785	0.749907579	14.06137399	608.6	364.0608661	0.3241	0.7193	0.0311	44.10023228	40.57271032	50.39621469	8	8	8	1176.47	7.955106586	6.357337894	10.53	11.02	0.0625	1.502	31.172	91.88303375	62.49799347	0.240098	1.979	8.242142792	18.1	46.88888889	1.98	28.122	4.2584025	0.1748275	39156.11899	87.62886598	63.02521008	75.91973244	0.002661378	3188	6.531282847	208.29046	3085	914.1145473	0.809614749	77	2.475088396	3085	0.002260738	0.004576437	0.001226696	1	-1.887752533	0.001	999	3085	0.086768039	0.112992443	0.005618166	1	-4.6677874	0.001	999	0.657284029
s45	45	8	0	2	1	1	1	1	1	1	1	1	79.17	0.596354167	25.55814243	0.64059253	0.198753703	0.790486752	14.5266281	502.9	364.139792	0.4441	0.9586	0.0328	67.67313292	60.24918957	70.07269394	13.4	10.25	13.5	3352.94	7.934485526	6.357337894	10.67	11.02	0	1.099	18.521	101.525322	50.67706299	0.250098	2.341	9.360298763	22.4	48.44444445	2.07	36.474695	4.16882	0.2867	35655.68006	100	96.63865546	95.98662207	0.001838593	3384	6.34765021	222.82449	3263	994.2516261	0.781074899	273	8.775313404	3263	0.001929183	0.004342015	0.001229038	1	-1.9631878	0.001	999	3263	0.084863232	0.112725627	0.006355312	1	-4.384110958	0.001	999	0.582867246
s46	46	8	0	2	1	1	1	1	1	1	1	1	79.17	0.596354167	25.69972232	0.64059253	0.198753703	0.772643253	14.64258256	502.9	364.072199	0.4441	0.9586	0.0328	67.48666951	60.26392483	70.0874292	13.2	9.75	12.25	4035.29	7.912958563	6.357337894	10.68	11.02	0	1.223	25.816	155.808136	51.86365509	0.250065	2.323	9.291224282	29.3	48.81481482	2.04	37.9450165	4.155185	0.2909255	34382.20775	100	86.55462185	87.95986622	0.001709852	3534	6.492816799	232.85509	3430	1052.312484	0.79469636	423	13.59691418	3430	0.001923632	0.004273004	0.001627079	1	-1.443920353	0.001	999	3430	0.09526364	0.112269007	0.008312704	5	-2.04570822	0.005	999	0.585449534
s47	47	8	0	2	1	1	1	1	1	1	1	1	79.17	0.596354167	25.6243765	0.64059253	0.198753703	0.786814541	14.4742523	502.9	364.0775732	0.4441	0.9586	0.0328	68.04605974	60.46776255	70.29126691	12.6	10.25	12.5	2461.76	7.9113833	6.357337894	10.63	11.02	0	1.552	30.311	109.1252899	50.61153793	0.2597	2.342	9.018559877	14.9	48.77777778	2.05	37.505225	4.1800575	0.27587325	35655.68006	100	96.63865546	93.97993311	0.00191154	3670	6.809419419	240.6858	3580	1106.450893	0.829612992	559	17.96849887	3580	0.002113398	0.004107263	0.001012055	1	-1.970114391	0.001	999	3580	0.090069504	0.11300631	0.005188256	1	-4.420908647	0.001	999	0.642142403
s48	48	8	0	2	1	1	1	1	1	1	1	1	79.17	0.596354167	25.55814243	0.64059253	0.198753703	0.774491682	14.27872876	502.9	364.0856007	0.4441	0.9586	0.0328	68.45824202	60.54782411	70.37132847	11.25	10.5	13.25	2708.82	7.958225787	6.357337894	10.63	11.02	0	1.638	21.613	85.20256805	43.96484756	0.24445	2.168	8.868357537	17.3	47.33333333	1.984	34.871625	4.1309775	0.252346	34382.20775	100	100	91.97324415	0.002129246	3589	6.440380914	224.67191	3502	1078.467898	0.786791217	478	15.36483446	3502	0.002903307	0.004086979	0.001233839	132	-0.959340808	0.132	999	3502	0.101251692	0.112252413	0.006589583	38	-1.669410879	0.038	999	0.600606087
s49	49	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.346571422	6.357337894	11.01	11.02	0.333333333	1.982	20.009	120.9831	68.0093	0.23112	2.112	9.136465905	43.2	0	1.154285714	33.4843	3.6334	0.1365025	39937.25549	0	0	0	2.17E-05	3038	5.954057495	198.52808	2961	855.9817331	0.74249796	-73	-2.346512375	2961	0.001224612	0.004690057	0.002179352	1	-1.590126307	0.001	999	2961	0.077799789	0.11117801	0.009730107	1	-3.430406524	0.001	999	0.539196535
s50	50	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.345543186	6.357337894	11.03	11.02	0.5	1.9982	24.982	125.001	72.0012	0.242318	2.111	8.713054746	35.8	0	1.35	34.9997	3.5977	0.12803	40781.20102	0	0	0	2.07E-05	3065	6.222099115	202.07197	2996	864.1477755	0.775068749	-46	-1.478624237	2996	0.001446275	0.004501003	0.001599612	1	-1.909668987	0.001	999	2996	0.074229894	0.112185063	0.007848733	1	-4.835833628	0.001	999	0.591428742
s51	51	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.365381494	6.357337894	11.05	11.02	0.5625	2.0012	24.001	119.09102	68.9903	0.234562	2.123	9.051423504	41.3	0	1.407	36.3175	3.52725	0.131465	39902.61367	0	0	0	2.07E-05	3313	6.564644112	212.61575	3258	966.7264919	0.809889027	202	6.493089039	3258	0.001438696	0.004339896	0.001012414	1	-2.865625835	0.001	999	3258	0.089704611	0.112691005	0.004899118	1	-4.691945173	0.001	999	0.600926751
s52	52	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.335455472	6.357337894	10.99	11.02	0.625	2.00913	22.91	120.986	68.03134	0.242231	2.132	8.80069025	37.1	0	1.502	35.0455	3.64356	0.124075	40593.40322	0	0	0	2.22E-05	3028	6.207990926	204.52836	2942	849.6403661	0.774483046	-83	-2.667952427	2942	0.002232785	0.004606057	0.001433893	1	-1.655124776	0.001	999	2942	0.083354102	0.112409239	0.006432152	1	-4.517171792	0.001	999	0.577349134
